port_acronym; value
Based on i.a. nmap's top 20 most commonly opened ports, CompTIA CySA+ exam objectives and CySA+ Self-Paced Study Guide CS0-002, 
CompTIA Network+ Common Ports youtube video by Professor Messer
TCP 80; HTTP
TCP 23; Telnet
TCP 443; HTTPS
TCP 20; FTP
TCP 21; FTP
TCP 22; SSH
TCP 25; SMTP
TCP 587; SMTPS 
TCP 3389; RDP
TCP 88; Kerberos
TCP 110; POP3
TCP 445; SMB
TCP 139; NetBIOS-SSN
TCP 143; IMAP
TCP 53; DNS
TCP 135; MSRPC
TCP 389; LDAP 
TCP 636; LDAPS 
TCP 1433; MS-SQL 
TCP 3306; MySQL
TCP 1521; Oracle Net
TCP 5060; SIP
TCP 5061; SIP
TCP 8080; HTTP
TCP 1723; PPTP
TCP 111; RPCBind
TCP 995; POP3S
TCP 993; IMAPS
TCP 5900; VNC
UDP 631; IPP
UDP 161; SNMP
UDP 137; NETBIOS-NS
UDP 123; NTP
UDP 138; NETBIOS-DGM
UDP 1434; MS-SQL
UDP 445; SMB
UDP 135; MSRPC
UDP 67; DHCPS
UDP 53; DNS
UDP 139; NETBIOS-SSN
UDP 500; ISAKMP
UDP 68; DHCPC
UDP 520; RIP
UDP 1900; UPNP
UDP 4500; nat-t-ike
UDP 514; Syslog
UDP 162; SNMPTrap
UDP 69; TFTP
AAR; After-Action Report
ACL; Access Control List
AES; Advanced Encryption Standard
ALE; Annual Loss Expectancy
API; Application Programming Interface
APT; Advanced Persistent Threat
ARO; Annual Rate of Occurrence
ARP; Address Resolution Protocol
ASLR; Address Space Layout Randomization
ASM; Attack Surface Management
ATT&CK; Adversarial Tactics, Techniques, and Common Knowledge
AUP; Acceptable Use Policy
AV; Antivirus
BC; Business Continuity
BEC; Business Email Compromise
BCP; Business Continuity Plan
BGP; Border Gateway Protocol
BIA; Business Impact Analysis
BYOA; Bring Your Own App
BYOD; Bring Your Own Device
C2; Command and Control
CA; Certificate Authority
CAPEC; Common Attack Pattern Enumerations and Classifications
CASB; Cloud Access Security Broker
CCE; Common Configuration Enumeration
CCPA; California Consumer Privacy Act
CDN; Content Delivery Network
CERT; Computer Emergency Response Team
CHD; Cardholder Data
CI/CD; Continuous Integration and Continuous Delivery
CKC; Cyber Kill Chain
CIS; Center for Internet Security
COBIT; Control Objectives for Information and Related Technologies
COPE; Corporate-Owned, Personally Enabled
CPE; Common Platform Enumeration
CRL; Certificate Revocation List
CSIRT; Cybersecurity Incident Response Team
CSP; Cloud Service Provider
CSRF; Cross-site Request Forgery
CTI; Cyber Threat Intelligence
CVE; Common Vulnerabilities and Exposures
